time_ms,base,shoulder,elbow,palm,wrist,gripper,obj_x,obj_y,obj_area,cell,err_x,err_y,approach_mode,free_mode
1778260652888,2374,1776,1986,2899,3206,2995,,,,,,,0,1
1778260652949,2374,1775,1986,2903,3202,2995,,,,,,,0,1
1778260653010,2373,1775,1986,2911,3197,2995,,,,,,,0,1
1778260653074,2372,1775,1992,2921,3196,2995,,,,,,,0,1
1778260653130,2371,1775,1991,2929,3195,2995,,,,,,,0,1
1778260653189,2371,1777,1988,2939,3194,2995,,,,,,,0,1
1778260653247,2371,1776,1991,2947,3194,2995,,,,,,,0,1
1778260653305,2369,1775,1994,2956,3194,2995,,,,,,,0,1
1778260653368,2374,1775,2001,2966,3193,2995,,,,,,,0,1
1778260653428,2373,1787,2000,2974,3193,2995,,,,,,,0,1
1778260653483,2372,1789,2004,2981,3193,2995,,,,,,,0,1
1778260653545,2373,1792,2004,2990,3193,2995,,,,,,,0,1
1778260653607,2373,1790,2004,2999,3193,2995,,,,,,,0,1
1778260653689,2373,1788,2004,3014,3193,2995,,,,,,,0,1
1778260653769,2373,1791,2004,3024,3193,2995,,,,,,,0,1
1778260653855,2373,1793,2005,3029,3195,2995,,,,,,,0,1
1778260653912,2373,1793,2005,3029,3196,2995,,,,,,,0,1
1778260653968,2373,1793,2005,3029,3197,2995,,,,,,,0,1
1778260654024,2373,1793,2005,3029,3197,2995,,,,,,,0,1
1778260654081,2373,1793,2006,3029,3197,2995,,,,,,,0,1
1778260654144,2373,1793,2006,3029,3197,2995,,,,,,,0,1
1778260654201,2373,1793,2006,3029,3197,2995,,,,,,,0,1
1778260654260,2373,1793,2009,3029,3197,2995,,,,,,,0,1
1778260654341,2374,1794,2015,3029,3197,2995,,,,,,,0,1
1778260654426,2374,1794,2021,3029,3197,2995,,,,,,,0,1
1778260654480,2374,1794,2024,3029,3197,2995,,,,,,,0,1
1778260654566,2373,1794,2031,3029,3197,2995,,,,,,,0,1
1778260654655,2373,1793,2036,3029,3197,2995,,,,,,,0,1
1778260654737,2373,1793,2039,3029,3197,2995,,,,,,,0,1
1778260654816,2373,1792,2040,3029,3197,2995,,,,,,,0,1
1778260654903,2373,1787,2041,3029,3197,2995,,,,,,,0,1
1778260654989,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655075,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655161,2373,1784,2041,3029,3197,2995,,,,,,,0,1
1778260655246,2373,1784,2041,3029,3197,2995,,,,,,,0,1
1778260655333,2373,1784,2041,3029,3197,2995,,,,,,,0,1
1778260655413,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655503,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655580,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655663,2373,1783,2041,3029,3197,2995,,,,,,,0,1
1778260655745,2373,1783,2041,3028,3197,2995,,,,,,,0,1
1778260655833,2373,1783,2041,3028,3197,2995,,,,,,,0,1
1778260655921,2373,1783,2041,3028,3197,2995,,,,,,,0,1
1778260656008,2373,1783,2041,3028,3197,2995,,,,,,,0,1
1778260656094,2373,1782,2041,3028,3197,2995,,,,,,,0,1
